02002097;2.00;MELAMINA VESTO BLANCA 183 X 250 X 15 MM.CORTADAS                               ;32731.09;65462.18;1412260
01000291;60.00;PALLETS MAD. PINO  1.00 X 1.00 CERTIFICADO IMERYS                              ;10714.01;642840.31;1412251
02002097;1.00;MELAMINA VESTO BLANCA 183 X 250 X 15 MM.CORTADA                                ;32731.09;32731.09;1412252
02002097;2.00;MELAMINA VESTO BLANCA 183 X 250 X 15 MM.CORTADAS                               ;32731.09;65462.18;1412261
010002861;10.00;OREGON EN 4,00 MTS.C/REB VIDR (2x2 CEPILLADO)                                  ;11033.61;110336.13;1412259
01000200;2.00;MSD. PINO 2 X 2 X 3.20 CEP. CORTADOS                                                          ;3790.00;7580.00;167778
02001405;1.00;AJUSTE MOLDAJE PINO INSIGNE SEGUN GUIA N.7915                                  ;929158.00;929158.00;1393033
02002097;1.00;MELAMINA VESTO BLANCA 183 X 250 X 15 MM. CORTADO                                              ;38950.00;38950.00;167779
02-AFIX-1002300380;1.00;AFIX ARTICOLL ULTRAFLEX 60 GALON (ADHE. CONTACTO)                              ;16597.00;16597.00;1415800
02-BARR-15111000032800;6.00;BARRA CLOSET OVALADA 3,0 MT CROMADA                                            ;7226.83;43361.00;1415800
02-COR-10100710300;4.00;CORREDERA TELESCOPICA DUCASSE 42 X 300MM ZINC                                  ;3445.50;13782.00;1415800
02-COR-10100710550;43.00;CORREDERA TELESCOPICA DUCASSE 42 X 550MM ZINC                                  ;5588.23;240294.00;1415800
02-SOP-00910;40.00;SOPORTE BARRA OVALADO METALICO CROMADO                                         ;462.18;18487.00;1415800
02-SOP-1512140063050;48.00;SOPORTE REPISA  PLASTICO MOVIL BLANCO (UN.)                                    ;50.42;2420.00;1415800
02-TAPA-20100;6.00;TAPA TORNILLO PVC BLANCO MATE  SET 50 UNIDADES                                 ;546.17;3277.00;1415800
02-TIR-1510110267890;14.00;TIRADOR MADRID 10MM 160MM NIQUELADO                                            ;1386.57;19412.00;1415800
02-TOR-;10.00;TORNILLO DRYWALL MADERA CRS ZN 6-9X2 (100)                                     ;2647.10;26471.00;1415800
02000032;2.00;DUROLAC BLANCO 152 X 244 X 3 MM.CORTADAS                                       ;9622.00;19244.00;1415800
02001936;200.00;CUBRECANTO PVC. BLANCO                                                         ;105.04;21008.00;1415800
02002097;21.00;MELAMINA VESTO BLANCA 183 X 250 X 15 MM.CORTADAS                               ;33151.22;696175.56;1415800
02-RUE-10804;4.00;RUEDA CAMA C/FRENO C/SOCKET BLANCA                                                            ;1950.00;7800.00;167780
02-BIS-56603;12.00;BISAGRA 26MM CURVA SLIDE ON                                                    ;336.00;4032.00;1391036
02-TAPA-20100;1.00;TAPA TORNILLO PVC BLANCO MATE  SET 50 UNIDADES                                 ;378.00;378.00;1391036
02-TIR-151011258890;10.00;TIRADOR MADRID 10MM  96MM NIQUELADO                                            ;714.00;7140.00;1391036
02000032;1.00;DUROLAC BLANCO , CORTADO 152 X 244 X 3 MM.                                     ;6685.29;6685.29;1391036
02002097;1.00;MELAMINA VESTO BLANCA 183 X 250 X 15 MM.CORTADA                                               ;38950.00;38950.00;167782
01000196;24.00;MSD. PINO 1 X 2 X 3.20 CEP.CORTADAS                                                           ;2200.00;52800.00;167783
01000197;42.00;MSD. PINO 1 X 3 X 3.20 CEP.CORTADAS                                                           ;2850.00;119700.00;167783
01000199;13.00;MSD. PINO 1 X 5 X 3.20 CEP.CORTADAS                                                           ;4750.00;61750.00;167783
0200002210;50.00;CUBRECANTO PVC. NOCCE MILANO 21MM                                                             ;160.00;8000.00;167786
01000114;15.00;BASTIDOR PINO 1 X 2 DE 1.00 X 2.00 MTS                                                        ;6000.00;90000.00;167788
01000113;30.00;BASTIDOR PINO 1 X 2  DE 1.00 X 1.70 MTS.                                                      ;6000.00;180000.00;167788
02000521;4.00;ECOPLAC MDP 152 X 242 X 8 MM.                                                                 ;14250.00;57000.00;167789
02001532;2.00;DUROLAC COIGUE 152 X 244 X 3,2 MM.                                                            ;11250.00;22500.00;167796
02002097;1.00;MELAMINA VESTO BLANCA 183 X 250 X 15 MM.                                                      ;38950.00;38950.00;167796
02-COR-40100312;6.00;CORREDERA TELESCOPICA DUCASSE 35 X 350MM ZINC                                                 ;2850.00;17100.00;180555
021064116;1.00;MELAMINA VESTO CENDRA ESCANDINAVA 183 X 250 X 15 MM. CORTADA                                  ;59750.00;59750.00;181400
020022001;1.00;AGLOMERADO  ENCHA. EUCALIP.150 X 240 X 15 MM.CORTADO                                          ;44950.00;44950.00;181400
02-TIR-15101102;4.00;TIRADOR MADRID 10MM 160MM NIQUELADO                                                           ;1650.00;6600.00;181400
02-TOR-11810;1.00;TORNILLO CHIPBOARD 3.5 X 15MM                                                                 ;1550.00;1550.00;181400
02000545;50.00;CUBRECANTO ENCINA  POR ML. 21MM C/SOPORTE ENG                                                 ;230.00;11500.00;181400
02002397;1.00;TERCIADO PINO  122 X 244 X  3,2 MM.                                                           ;14750.00;14750.00;181400
02-TOR-601995;2.00;CAJA TORNILLO SOBERBIO 3/16 X 2 (144)                                                         ;3450.00;6900.00;181400
02000597;100.00;CUBRECANTO MELAMINA BLANCO 22MM ENGOMADO                                                      ;200.00;20000.00;181400
307325470;30.00;CUBRECANTO PVC. CENDRA ESCANDINAVA 22MM X 0,45MM.                                             ;195.00;5850.00;181400
02000257;4.00;PLANCHA  OSB ESTRUCTURAL 122 X 244 X 9,5 MM.                                                  ;14000.00;56000.00;190111
01000200;2.00;MSD. PINO 2 X 2 X 3.20 CEP.                                                                   ;3600.00;7200.00;190111
01000294;1.00;MSD. PINO 1 X 10 X 3.20 CEP.CORTADA                                                           ;11250.00;11250.00;190500
01000205;3.00;MSD. PINO 2 X 3 X 3.20 CEP.                                                    ;3067.33;9202.00;1393643
02-CARRO-10100201001;2.00;CORREDERA CARROS D7 - D14 SIMPLE                                               ;1554.50;3109.00;1393643
